B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
7.61 28.58 0.16 0.00
7.62 27.98 0.23 0.00
7.63 28.77 0.38 0.00
7.64 27.78 0.45 0.00
7.65 28.72 0.44 0.00
7.66 30.77 0.38 0.00
7.67 31.86 0.32 0.00
7.68 31.16 0.32 0.00
7.69 29.17 0.31 0.00
7.7 26.71 0.20 0.00
7.71 24.21 0.19 0.00
7.72 22.94 0.18 0.00
7.73 22.26 0.17 0.00
7.74 21.57 0.14 0.00
7.75 20.89 0.08 0.00
7.76 21.42 0.11 0.00
7.77 21.01 0.13 0.00
7.78 20.61 0.16 0.00
7.79 20.20 0.17 0.00
7.8 20.02 0.17 0.00
7.81 19.64 0.24 0.00
7.82 19.26 0.27 0.00
7.83 18.88 0.27 0.00
7.84 19.64 0.23 0.00
7.85 19.36 0.20 0.00
7.86 18.96 0.14 0.00
7.87 18.59 0.11 0.00
7.88 18.16 0.10 0.00
7.89 18.72 0.06 0.00
7.9 17.98 0.08 0.00
7.91 17.00 0.09 0.00
7.92 16.74 0.11 0.00
7.93 16.49 0.09 0.00
7.94 16.23 0.09 0.00
7.95 16.43 0.07 0.00
7.96 16.75 0.09 0.00
7.97 15.57 0.08 0.00
7.98 14.91 0.08 0.00
7.99 14.82 0.08 0.00
8 15.36 0.12 0.00
8.01 15.68 0.16 0.00
8.02 16.75 0.16 0.00
8.03 15.69 0.08 0.00
8.04 14.62 0.08 0.00
8.05 13.56 0.09 0.00
8.06 13.12 0.09 0.00
8.07 13.01 0.05 0.00
8.08 12.82 0.05 0.00
8.09 12.35 0.04 0.00
8.1 12.30 0.04 0.00
8.11 12.25 0.04 0.00
8.12 12.20 0.04 0.00
8.13 12.07 0.03 0.00
8.14 11.95 0.03 0.00
8.15 11.82 0.03 0.00
8.16 12.22 0.02 0.00
8.17 12.54 0.02 0.00
8.18 12.85 0.02 0.00
8.19 14.01 0.02 0.00
8.2 14.12 0.03 0.00
8.21 13.65 0.04 0.00
8.22 13.19 0.06 0.00
8.23 12.72 0.05 0.00
8.24 13.24 0.04 0.00
8.25 10.44 0.04 0.00
8.26 10.97 0.04 0.00
8.27 11.51 0.04 0.00
8.28 12.04 0.04 0.00
8.29 12.06 0.02 0.00
8.3 11.90 0.02 0.00
8.31 11.75 0.00 0.00
8.32 11.59 0.00 0.00
8.33 12.13 0.00 0.00
8.34 12.75 0.01 0.00
8.35 13.37 0.03 0.00
8.36 13.99 0.04 0.00
8.37 14.77 0.05 0.00
8.38 14.17 0.05 0.00
8.39 14.70 0.06 0.00
8.4 14.68 0.07 0.00
8.41 15.60 0.09 0.00
8.42 16.53 0.08 0.00
8.43 17.45 0.08 0.00
8.44 17.14 0.08 0.00
8.45 17.01 0.07 0.00
8.46 18.42 0.07 0.00
8.47 18.87 0.07 0.00
8.48 20.31 0.07 0.00
8.49 22.16 0.07 0.00
8.5 18.74 0.07 0.00
8.51 18.33 0.08 0.00
8.52 17.93 0.14 0.00
8.53 17.52 0.18 0.00
8.54 18.03 0.14 0.00
